"number","from_date","to_date","backlog_all","inflow_all","outflow_all","backlog_normal","backlog_major","inflow_normal","inflow_major","outflow_normal","outflow_major"
"40",39,"2000-10-01","2000-10-07",10,0,0,1,0,0,0,0,0
"41",40,"2000-10-08","2000-10-14",10,0,0,1,0,0,0,0,0
"42",41,"2000-10-15","2000-10-21",10,0,0,1,0,0,0,0,0
"43",42,"2000-10-22","2000-10-28",11,1,0,1,0,0,0,0,0
"44",43,"2000-10-29","2000-11-04",11,0,0,1,0,0,0,0,0
"45",44,"2000-11-05","2000-11-11",11,0,0,1,0,0,0,0,0
"46",45,"2000-11-12","2000-11-18",11,0,0,1,0,0,0,0,0
"47",46,"2000-11-19","2000-11-25",12,1,0,1,0,0,0,0,0
"48",47,"2000-11-26","2000-12-02",12,0,0,1,0,0,0,0,0
"49",48,"2000-12-03","2000-12-09",12,0,0,1,0,0,0,0,0
"50",49,"2000-12-10","2000-12-16",12,0,0,1,0,0,0,0,0
"51",50,"2000-12-17","2000-12-23",12,0,0,1,0,0,0,0,0
"52",51,"2000-12-24","2000-12-30",12,0,0,1,0,0,0,0,0
"53",52,"2000-12-31","2001-01-06",12,0,0,1,0,0,0,0,0
"54",53,"2001-01-07","2001-01-13",12,0,0,1,0,0,0,0,0
"55",54,"2001-01-14","2001-01-20",12,0,0,1,0,0,0,0,0
"56",55,"2001-01-21","2001-01-27",12,0,0,1,0,0,0,0,0
"57",56,"2001-01-28","2001-02-03",13,1,0,1,0,0,0,0,0
"58",57,"2001-02-04","2001-02-10",13,0,0,1,0,0,0,0,0
"59",58,"2001-02-11","2001-02-17",14,1,0,1,0,0,0,0,0
"60",59,"2001-02-18","2001-02-24",14,0,0,1,0,0,0,0,0
"61",60,"2001-02-25","2001-03-03",14,0,0,1,0,0,0,0,0
"62",61,"2001-03-04","2001-03-10",14,0,0,1,0,0,0,0,0
"63",62,"2001-03-11","2001-03-17",14,0,0,1,0,0,0,0,0
"64",63,"2001-03-18","2001-03-24",14,0,0,1,0,0,0,0,0
"65",64,"2001-03-25","2001-03-31",14,0,0,1,0,0,0,0,0
"66",65,"2001-04-01","2001-04-07",15,1,0,2,0,1,0,0,0
"67",66,"2001-04-08","2001-04-14",16,1,0,2,0,0,0,0,0
"68",67,"2001-04-15","2001-04-21",16,0,0,2,0,0,0,0,0
"69",68,"2001-04-22","2001-04-28",17,1,0,2,0,0,0,0,0
"70",69,"2001-04-29","2001-05-05",17,0,0,2,0,0,0,0,0
"71",70,"2001-05-06","2001-05-12",17,0,0,2,0,0,0,0,0
"72",71,"2001-05-13","2001-05-19",21,4,0,3,1,1,1,0,0
"73",72,"2001-05-20","2001-05-26",21,0,0,3,1,0,0,0,0
"74",73,"2001-05-27","2001-06-02",21,0,0,3,1,0,0,0,0
"75",74,"2001-06-03","2001-06-09",21,0,0,3,1,0,0,0,0
"76",75,"2001-06-10","2001-06-16",21,0,0,3,1,0,0,0,0
"77",76,"2001-06-17","2001-06-23",21,0,0,3,1,0,0,0,0
"78",77,"2001-06-24","2001-06-30",21,0,0,3,1,0,0,0,0
"79",78,"2001-07-01","2001-07-07",21,0,0,3,1,0,0,0,0
"80",79,"2001-07-08","2001-07-14",21,0,0,3,1,0,0,0,0
"81",80,"2001-07-15","2001-07-21",21,0,0,3,1,0,0,0,0
"82",81,"2001-07-22","2001-07-28",21,0,0,3,1,0,0,0,0
"83",82,"2001-07-29","2001-08-04",21,0,0,3,1,0,0,0,0
"84",83,"2001-08-05","2001-08-11",21,0,0,3,1,0,0,0,0
"85",84,"2001-08-12","2001-08-18",22,1,0,4,1,1,0,0,0
"86",85,"2001-08-19","2001-08-25",23,1,0,5,1,1,0,0,0
"87",86,"2001-08-26","2001-09-01",23,0,0,5,1,0,0,0,0
"88",87,"2001-09-02","2001-09-08",23,0,0,5,1,0,0,0,0
"89",88,"2001-09-09","2001-09-15",23,0,0,5,1,0,0,0,0
"90",89,"2001-09-16","2001-09-22",23,0,0,5,1,0,0,0,0
"91",90,"2001-09-23","2001-09-29",23,0,0,5,1,0,0,0,0
"92",91,"2001-09-30","2001-10-06",23,0,0,5,1,0,0,0,0
"93",92,"2001-10-07","2001-10-13",23,0,0,5,1,0,0,0,0
"94",93,"2001-10-14","2001-10-20",23,0,0,5,1,0,0,0,0
"95",94,"2001-10-21","2001-10-27",24,1,0,5,1,0,0,0,0
"96",95,"2001-10-28","2001-11-03",24,0,0,5,1,0,0,0,0
"97",96,"2001-11-04","2001-11-10",26,2,0,5,1,0,0,0,0
"98",97,"2001-11-11","2001-11-17",27,1,0,5,1,0,0,0,0
"99",98,"2001-11-18","2001-11-24",27,0,0,5,1,0,0,0,0
"100",99,"2001-11-25","2001-12-01",27,0,0,5,1,0,0,0,0
"101",100,"2001-12-02","2001-12-08",28,1,0,5,1,0,0,0,0
"102",101,"2001-12-09","2001-12-15",28,0,0,5,1,0,0,0,0
"103",102,"2001-12-16","2001-12-22",28,0,0,5,1,0,0,0,0
"104",103,"2001-12-23","2001-12-29",29,1,0,5,1,0,0,0,0
"105",104,"2001-12-30","2002-01-05",29,0,0,5,1,0,0,0,0
"106",105,"2002-01-06","2002-01-12",31,2,0,5,1,0,0,0,0
"107",106,"2002-01-13","2002-01-19",31,0,0,5,1,0,0,0,0
"108",107,"2002-01-20","2002-01-26",32,1,0,6,1,1,0,0,0
"109",108,"2002-01-27","2002-02-02",32,0,0,6,1,0,0,0,0
"110",109,"2002-02-03","2002-02-09",33,1,0,7,1,1,0,0,0
"111",110,"2002-02-10","2002-02-16",33,0,0,7,1,0,0,0,0
"112",111,"2002-02-17","2002-02-23",33,0,0,7,1,0,0,0,0
"113",112,"2002-02-24","2002-03-02",34,1,0,8,1,1,0,0,0
"114",113,"2002-03-03","2002-03-09",35,1,0,8,1,0,0,0,0
"115",114,"2002-03-10","2002-03-16",35,0,0,8,1,0,0,0,0
"116",115,"2002-03-17","2002-03-23",35,0,0,8,1,0,0,0,0
"117",116,"2002-03-24","2002-03-30",36,1,0,8,1,0,0,0,0
"118",117,"2002-03-31","2002-04-06",36,0,0,8,1,0,0,0,0
"119",118,"2002-04-07","2002-04-13",36,0,0,8,1,0,0,0,0
"120",119,"2002-04-14","2002-04-20",36,0,0,8,1,0,0,0,0
"121",120,"2002-04-21","2002-04-27",36,0,0,8,1,0,0,0,0
"122",121,"2002-04-28","2002-05-04",37,1,0,8,1,0,0,0,0
"123",122,"2002-05-05","2002-05-11",38,1,0,8,1,0,0,0,0
"124",123,"2002-05-12","2002-05-18",38,0,0,8,1,0,0,0,0
"125",124,"2002-05-19","2002-05-25",38,0,0,8,1,0,0,0,0
"126",125,"2002-05-26","2002-06-01",39,1,0,8,1,0,0,0,0
"127",126,"2002-06-02","2002-06-08",39,0,0,8,1,0,0,0,0
"128",127,"2002-06-09","2002-06-15",41,2,0,8,1,0,0,0,0
"129",128,"2002-06-16","2002-06-22",41,0,0,8,1,0,0,0,0
"130",129,"2002-06-23","2002-06-29",41,0,0,8,1,0,0,0,0
"131",130,"2002-06-30","2002-07-06",41,0,0,8,1,0,0,0,0
"132",131,"2002-07-07","2002-07-13",41,0,0,8,1,0,0,0,0
"133",132,"2002-07-14","2002-07-20",41,0,0,8,1,0,0,0,0
"134",133,"2002-07-21","2002-07-27",41,0,0,8,1,0,0,0,0
"135",134,"2002-07-28","2002-08-03",41,0,0,8,1,0,0,0,0
"136",135,"2002-08-04","2002-08-10",42,1,0,8,1,0,0,0,0
"137",136,"2002-08-11","2002-08-17",42,0,0,8,1,0,0,0,0
"138",137,"2002-08-18","2002-08-24",42,0,0,8,1,0,0,0,0
"139",138,"2002-08-25","2002-08-31",42,0,0,8,1,0,0,0,0
"140",139,"2002-09-01","2002-09-07",43,1,0,8,1,0,0,0,0
"141",140,"2002-09-08","2002-09-14",43,0,0,8,1,0,0,0,0
"142",141,"2002-09-15","2002-09-21",43,0,0,8,1,0,0,0,0
"143",142,"2002-09-22","2002-09-28",44,1,0,8,1,0,0,0,0
"144",143,"2002-09-29","2002-10-05",45,1,0,8,1,0,0,0,0
"145",144,"2002-10-06","2002-10-12",45,0,0,8,1,0,0,0,0
"146",145,"2002-10-13","2002-10-19",47,2,0,8,1,0,0,0,0
"147",146,"2002-10-20","2002-10-26",47,0,0,8,1,0,0,0,0
"148",147,"2002-10-27","2002-11-02",47,0,0,8,1,0,0,0,0
"149",148,"2002-11-03","2002-11-09",47,0,0,8,1,0,0,0,0
"150",149,"2002-11-10","2002-11-16",49,2,0,8,1,0,0,0,0
"151",150,"2002-11-17","2002-11-23",49,0,0,8,1,0,0,0,0
"152",151,"2002-11-24","2002-11-30",49,0,0,8,1,0,0,0,0
"153",152,"2002-12-01","2002-12-07",50,1,0,9,1,1,0,0,0
"154",153,"2002-12-08","2002-12-14",50,0,0,9,1,0,0,0,0
"155",154,"2002-12-15","2002-12-21",50,0,0,9,1,0,0,0,0
"156",155,"2002-12-22","2002-12-28",50,0,0,9,1,0,0,0,0
"157",156,"2002-12-29","2003-01-04",50,0,0,9,1,0,0,0,0
"158",157,"2003-01-05","2003-01-11",50,0,0,9,1,0,0,0,0
"159",158,"2003-01-12","2003-01-18",50,0,0,9,1,0,0,0,0
"160",159,"2003-01-19","2003-01-25",50,0,0,9,1,0,0,0,0
"161",160,"2003-01-26","2003-02-01",50,0,0,9,1,0,0,0,0
"162",161,"2003-02-02","2003-02-08",50,0,0,9,1,0,0,0,0
"163",162,"2003-02-09","2003-02-15",51,1,0,9,1,0,0,0,0
"164",163,"2003-02-16","2003-02-22",51,0,0,9,1,0,0,0,0
"165",164,"2003-02-23","2003-03-01",51,0,0,9,1,0,0,0,0
"166",165,"2003-03-02","2003-03-08",51,0,0,9,1,0,0,0,0
"167",166,"2003-03-09","2003-03-15",52,1,0,10,1,1,0,0,0
"168",167,"2003-03-16","2003-03-22",52,0,0,10,1,0,0,0,0
"169",168,"2003-03-23","2003-03-29",54,2,0,10,2,0,1,0,0
"170",169,"2003-03-30","2003-04-05",55,1,0,10,2,0,0,0,0
"171",170,"2003-04-06","2003-04-12",55,0,0,10,2,0,0,0,0
"172",171,"2003-04-13","2003-04-19",58,3,0,11,2,1,0,0,0
"173",172,"2003-04-20","2003-04-26",58,0,0,11,2,0,0,0,0
"174",173,"2003-04-27","2003-05-03",63,5,0,12,5,1,3,0,0
"175",174,"2003-05-04","2003-05-10",67,4,0,13,6,1,1,0,0
"176",175,"2003-05-11","2003-05-17",69,2,0,14,6,1,0,0,0
"177",176,"2003-05-18","2003-05-24",70,1,0,14,6,0,0,0,0
"178",177,"2003-05-25","2003-05-31",73,3,0,14,7,0,1,0,0
"179",178,"2003-06-01","2003-06-07",77,4,0,15,9,1,2,0,0
"180",179,"2003-06-08","2003-06-14",79,2,0,15,10,0,1,0,0
"181",180,"2003-06-15","2003-06-21",81,2,0,16,10,1,0,0,0
"182",181,"2003-06-22","2003-06-28",81,0,0,16,10,0,0,0,0
"183",182,"2003-06-29","2003-07-05",81,0,0,16,10,0,0,0,0
"184",183,"2003-07-06","2003-07-12",81,0,0,16,10,0,0,0,0
"185",184,"2003-07-13","2003-07-19",83,2,0,18,10,2,0,0,0
"186",185,"2003-07-20","2003-07-26",83,8,8,18,9,3,1,3,2
"187",186,"2003-07-27","2003-08-02",156,83,10,50,18,38,10,6,1
"188",187,"2003-08-03","2003-08-09",184,35,7,64,20,15,5,1,3
"189",188,"2003-08-10","2003-08-16",214,43,13,77,22,17,4,4,2
"190",189,"2003-08-17","2003-08-23",245,51,20,94,24,26,4,9,2
"191",190,"2003-08-24","2003-08-30",266,48,27,103,27,24,7,15,4
"192",191,"2003-08-31","2003-09-06",303,48,11,116,30,20,3,7,0
"193",192,"2003-09-07","2003-09-13",335,51,19,122,30,16,1,10,1
"194",193,"2003-09-14","2003-09-20",371,48,12,135,33,21,4,8,1
"195",194,"2003-09-21","2003-09-27",395,37,13,146,35,18,4,7,2
"196",195,"2003-09-28","2003-10-04",418,31,8,155,40,13,5,4,0
"197",196,"2003-10-05","2003-10-11",443,33,8,171,40,21,1,5,1
"198",197,"2003-10-12","2003-10-18",494,64,13,194,46,30,8,7,2
"199",198,"2003-10-19","2003-10-25",524,51,21,206,51,25,6,13,1
"200",199,"2003-10-26","2003-11-01",559,41,6,220,56,18,6,4,1
"201",200,"2003-11-02","2003-11-08",586,41,14,227,59,16,3,9,0
"202",201,"2003-11-09","2003-11-15",617,47,16,243,66,21,7,5,0
"203",202,"2003-11-16","2003-11-22",643,38,12,255,68,17,2,5,0
"204",203,"2003-11-23","2003-11-29",646,31,28,256,73,15,5,14,0
"205",204,"2003-11-30","2003-12-06",683,58,21,273,76,27,8,10,5
"206",205,"2003-12-07","2003-12-13",750,94,27,311,83,53,10,15,3
"207",206,"2003-12-14","2003-12-20",778,45,17,321,87,20,5,10,1
"208",207,"2003-12-21","2003-12-27",789,39,28,325,88,19,2,15,1
"209",208,"2003-12-28","2004-01-03",805,22,6,334,90,12,2,3,0
"210",209,"2004-01-04","2004-01-10",843,48,10,359,89,32,0,7,1
"211",210,"2004-01-11","2004-01-17",882,46,7,379,93,22,4,2,0
"212",211,"2004-01-18","2004-01-24",908,41,15,394,100,20,10,5,3
"213",212,"2004-01-25","2004-01-31",932,48,24,405,103,23,8,12,5
"214",213,"2004-02-01","2004-02-07",957,40,15,411,111,16,8,10,0
"215",214,"2004-02-08","2004-02-14",996,63,24,427,116,28,9,12,4
"216",215,"2004-02-15","2004-02-21",1044,67,19,458,119,38,5,7,2
"217",216,"2004-02-22","2004-02-28",1073,43,14,470,121,19,3,7,1
"218",217,"2004-02-29","2004-03-06",1097,38,14,484,123,21,5,7,3
"219",218,"2004-03-07","2004-03-13",1114,34,17,489,124,16,2,11,1
"220",219,"2004-03-14","2004-03-20",1140,38,12,497,129,17,6,9,1
"221",220,"2004-03-21","2004-03-27",1168,46,18,501,136,18,7,14,0
"222",221,"2004-03-28","2004-04-03",1195,45,18,522,139,26,3,5,0
"223",222,"2004-04-04","2004-04-10",1235,48,8,542,144,26,5,6,0
"224",223,"2004-04-11","2004-04-17",1267,45,13,557,144,24,2,9,2
"225",224,"2004-04-18","2004-04-24",1304,53,16,577,145,25,6,5,5
"226",225,"2004-04-25","2004-05-01",1336,45,13,594,149,23,4,6,0
"227",226,"2004-05-02","2004-05-08",1424,118,30,639,157,58,11,13,3
"228",227,"2004-05-09","2004-05-15",1453,72,43,638,156,23,2,24,3
"229",228,"2004-05-16","2004-05-22",1498,72,27,665,157,42,7,15,6
"230",229,"2004-05-23","2004-05-29",1541,57,14,681,162,23,7,7,2
"231",230,"2004-05-30","2004-06-05",1585,68,24,706,163,35,5,10,4
"232",231,"2004-06-06","2004-06-12",1615,58,28,721,167,31,7,16,3
"233",232,"2004-06-13","2004-06-19",1695,114,34,767,179,59,21,13,9
"234",233,"2004-06-20","2004-06-26",1759,92,28,802,187,48,11,13,3
"235",234,"2004-06-27","2004-07-03",1816,83,26,831,197,40,10,11,0
"236",235,"2004-07-04","2004-07-10",1892,98,22,867,202,46,7,10,2
"237",236,"2004-07-11","2004-07-17",1974,94,12,902,208,38,8,3,2
"238",237,"2004-07-18","2004-07-24",2043,97,28,931,211,38,6,9,3
"239",238,"2004-07-25","2004-07-31",2091,71,23,941,218,22,8,12,1
"240",239,"2004-08-01","2004-08-07",2144,85,32,974,225,43,9,10,2
"241",240,"2004-08-08","2004-08-14",2199,83,28,999,221,36,3,11,7
"242",241,"2004-08-15","2004-08-21",2213,49,35,1004,224,25,7,20,4
"243",242,"2004-08-22","2004-08-28",2169,67,111,964,221,29,9,69,12
"244",243,"2004-08-29","2004-09-04",2186,78,61,965,224,38,11,37,8
"245",244,"2004-09-05","2004-09-11",2185,63,64,957,223,27,9,35,10
"246",245,"2004-09-12","2004-09-18",2293,149,41,996,236,60,18,21,5
"247",246,"2004-09-19","2004-09-25",2400,159,52,1044,240,72,17,24,13
"248",247,"2004-09-26","2004-10-02",2435,107,72,1052,241,44,12,36,11
"249",248,"2004-10-03","2004-10-09",2502,119,52,1086,243,56,12,22,10
"250",249,"2004-10-10","2004-10-16",2524,93,71,1086,243,50,5,50,5
"251",250,"2004-10-17","2004-10-23",2575,112,61,1110,252,52,16,28,7
"252",251,"2004-10-24","2004-10-30",2614,96,57,1122,257,42,12,30,7
"253",252,"2004-10-31","2004-11-06",2713,176,77,1174,270,78,20,26,7
"254",253,"2004-11-07","2004-11-13",2803,168,78,1207,284,78,21,45,7
"255",254,"2004-11-14","2004-11-20",2882,167,88,1252,292,82,18,37,10
"256",255,"2004-11-21","2004-11-27",2919,143,106,1272,301,73,18,53,9
"257",256,"2004-11-28","2004-12-04",3048,210,81,1318,318,93,31,47,14
"258",257,"2004-12-05","2004-12-11",3143,178,83,1351,333,78,20,45,5
"259",258,"2004-12-12","2004-12-18",3213,135,65,1376,353,60,26,35,6
"260",259,"2004-12-19","2004-12-25",3271,98,40,1398,358,42,12,20,7
"261",260,"2004-12-26","2005-01-01",3294,68,45,1409,359,35,7,24,6
"262",261,"2005-01-02","2005-01-08",3359,113,48,1440,366,52,13,21,6
"263",262,"2005-01-09","2005-01-15",3373,121,107,1440,378,57,19,57,7
"264",263,"2005-01-16","2005-01-22",3384,92,81,1450,387,34,18,24,9
"265",264,"2005-01-23","2005-01-29",3447,109,46,1481,406,51,21,20,2
"266",265,"2005-01-30","2005-02-05",3484,98,61,1501,402,56,7,36,11
"267",266,"2005-02-06","2005-02-12",3489,81,76,1497,398,40,10,44,14
"268",267,"2005-02-13","2005-02-19",3527,74,36,1508,405,38,9,27,2
"269",268,"2005-02-20","2005-02-26",3548,90,69,1511,409,37,12,34,8
"270",269,"2005-02-27","2005-03-05",3564,92,76,1512,411,44,10,43,8
"271",270,"2005-03-06","2005-03-12",3599,127,92,1532,409,60,16,40,18
"272",271,"2005-03-13","2005-03-19",3647,118,70,1549,413,54,17,37,13
"273",272,"2005-03-20","2005-03-26",3670,106,83,1564,409,59,13,44,17
"274",273,"2005-03-27","2005-04-02",3742,118,46,1596,420,57,17,25,6
"275",274,"2005-04-03","2005-04-09",3748,105,99,1602,428,41,19,35,11
"276",275,"2005-04-10","2005-04-16",3794,92,46,1623,433,45,8,24,3
"277",276,"2005-04-17","2005-04-23",3839,107,62,1645,438,51,12,29,7
"278",277,"2005-04-24","2005-04-30",3858,81,62,1651,438,43,5,37,5
"279",278,"2005-05-01","2005-05-07",3906,86,38,1678,444,44,10,17,4
"280",279,"2005-05-08","2005-05-14",3946,64,24,1703,447,32,8,7,5
"281",280,"2005-05-15","2005-05-21",3995,79,30,1730,449,41,5,14,3
"282",281,"2005-05-22","2005-05-28",4041,84,38,1746,458,32,12,16,3
"283",282,"2005-05-29","2005-06-04",4097,85,29,1774,468,39,12,11,2
"284",283,"2005-06-05","2005-06-11",4122,82,57,1778,467,36,13,32,14
"285",284,"2005-06-12","2005-06-18",4159,68,31,1795,475,32,12,15,4
"286",285,"2005-06-19","2005-06-25",4186,61,34,1802,483,21,10,14,2
"287",286,"2005-06-26","2005-07-02",4193,55,48,1804,482,33,5,31,6
"288",287,"2005-07-03","2005-07-09",4223,58,28,1823,488,32,7,13,1
"289",288,"2005-07-10","2005-07-16",4227,63,59,1815,491,30,11,38,8
"290",289,"2005-07-17","2005-07-23",4239,67,55,1826,493,41,8,30,6
"291",290,"2005-07-24","2005-07-30",4272,81,48,1837,498,36,12,25,7
"292",291,"2005-07-31","2005-08-06",4273,84,83,1831,495,42,7,48,10
"293",292,"2005-08-07","2005-08-13",4303,73,43,1847,502,43,8,27,1
"294",293,"2005-08-14","2005-08-20",4315,56,44,1849,501,26,7,24,8
"295",294,"2005-08-21","2005-08-27",4346,87,56,1869,507,42,15,22,9
"296",295,"2005-08-28","2005-09-03",4354,71,63,1869,514,30,13,30,6
"297",296,"2005-09-04","2005-09-10",4368,74,60,1877,516,36,9,28,7
"298",297,"2005-09-11","2005-09-17",4384,88,72,1883,518,41,12,35,10
"299",298,"2005-09-18","2005-09-24",4391,57,50,1889,518,31,11,25,11
"300",299,"2005-09-25","2005-10-01",4368,87,110,1883,513,44,12,50,17
"301",300,"2005-10-02","2005-10-08",4395,83,56,1898,516,47,10,32,7
"302",301,"2005-10-09","2005-10-15",3111,111,1395,1315,328,64,12,647,200
"303",302,"2005-10-16","2005-10-22",3155,100,56,1328,336,48,10,35,2
"304",303,"2005-10-23","2005-10-29",3189,89,55,1345,337,56,9,39,8
"305",304,"2005-10-30","2005-11-05",3224,94,59,1359,348,41,16,27,5
"306",305,"2005-11-06","2005-11-12",3272,92,44,1383,359,49,19,25,8
"307",306,"2005-11-13","2005-11-19",3310,70,32,1402,363,32,11,13,7
"308",307,"2005-11-20","2005-11-26",3330,62,42,1420,363,39,6,21,6
"309",308,"2005-11-27","2005-12-03",3383,97,44,1444,369,42,14,18,8
"310",309,"2005-12-04","2005-12-10",3420,62,25,1471,372,39,5,12,2
"311",310,"2005-12-11","2005-12-17",3442,75,53,1478,375,39,9,32,6
"312",311,"2005-12-18","2005-12-24",3482,87,47,1504,376,41,10,15,9
"313",312,"2005-12-25","2005-12-31",3513,60,29,1517,377,28,3,15,2
"314",313,"2006-01-01","2006-01-07",3529,66,50,1518,382,31,8,30,3
"315",314,"2006-01-08","2006-01-14",3583,115,61,1544,393,52,22,26,11
"316",315,"2006-01-15","2006-01-21",3626,106,63,1563,403,48,20,29,10
"317",316,"2006-01-22","2006-01-28",3693,111,44,1605,410,64,12,22,5
"318",317,"2006-01-29","2006-02-04",3725,77,45,1619,411,39,6,25,5
"319",318,"2006-02-05","2006-02-11",3764,89,50,1626,422,36,22,29,11
"320",319,"2006-02-12","2006-02-18",3808,76,32,1646,438,36,17,16,1
"321",320,"2006-02-19","2006-02-25",3844,70,34,1666,446,37,15,17,7
"322",321,"2006-02-26","2006-03-04",3889,70,25,1689,451,40,10,17,5
"323",322,"2006-03-05","2006-03-11",3926,67,30,1710,454,41,6,20,3
"324",323,"2006-03-12","2006-03-18",3966,78,38,1734,459,40,10,16,5
"325",324,"2006-03-19","2006-03-25",4002,79,43,1756,468,41,16,19,7
"326",325,"2006-03-26","2006-04-01",4022,66,46,1759,473,30,9,27,4
"327",326,"2006-04-02","2006-04-08",4067,82,37,1784,482,37,17,12,8
"328",327,"2006-04-09","2006-04-15",4093,61,35,1805,486,39,8,18,4
"329",328,"2006-04-16","2006-04-22",4128,68,33,1824,488,32,6,13,4
"330",329,"2006-04-23","2006-04-29",4188,93,33,1848,495,46,13,22,6
"331",330,"2006-04-30","2006-05-06",4250,97,35,1872,499,44,10,20,6
"332",331,"2006-05-07","2006-05-13",4289,71,32,1891,503,36,5,17,1
"333",332,"2006-05-14","2006-05-20",4313,68,44,1897,509,32,12,26,6
"334",333,"2006-05-21","2006-05-27",4340,77,50,1917,513,43,11,23,7
"335",334,"2006-05-28","2006-06-03",4389,101,52,1937,520,46,16,26,9
"336",335,"2006-06-04","2006-06-10",4429,71,31,1952,528,32,14,17,6
"337",336,"2006-06-11","2006-06-17",4483,85,31,1973,536,40,11,19,3
"338",337,"2006-06-18","2006-06-24",4530,68,21,1990,541,31,8,14,3
"339",338,"2006-06-25","2006-07-01",4562,60,28,2014,547,37,10,13,4
"340",339,"2006-07-02","2006-07-08",4580,47,29,2021,549,25,5,18,3
"341",340,"2006-07-09","2006-07-15",4615,59,24,2032,556,24,11,13,4
"342",341,"2006-07-16","2006-07-22",4663,65,17,2062,560,40,6,10,2
"343",342,"2006-07-23","2006-07-29",4709,68,22,2084,565,31,11,9,6
"344",343,"2006-07-30","2006-08-05",4774,110,45,2112,574,53,15,25,6
"345",344,"2006-08-06","2006-08-12",4793,65,46,2119,575,33,7,26,6
"346",345,"2006-08-13","2006-08-19",4821,70,42,2135,577,37,7,21,5
"347",346,"2006-08-20","2006-08-26",4844,68,45,2150,575,44,6,29,8
"348",347,"2006-08-27","2006-09-02",4889,85,40,2175,582,50,9,25,2
"349",348,"2006-09-03","2006-09-09",4888,63,64,2184,581,42,7,33,8
"350",349,"2006-09-10","2006-09-16",4912,83,59,2182,585,32,15,34,11
"351",350,"2006-09-17","2006-09-23",4934,84,62,2190,594,39,12,31,3
"352",351,"2006-09-24","2006-09-30",4960,84,58,2205,594,46,11,31,11
"353",352,"2006-10-01","2006-10-07",4993,63,30,2221,594,34,6,18,6
"354",353,"2006-10-08","2006-10-14",5033,75,35,2237,595,38,5,22,4
"355",354,"2006-10-15","2006-10-21",5055,58,36,2254,596,30,10,13,9
"356",355,"2006-10-22","2006-10-28",5088,59,26,2268,602,30,7,16,1
"357",356,"2006-10-29","2006-11-04",5133,87,42,2292,610,43,10,19,2
"358",357,"2006-11-05","2006-11-11",5159,74,48,2306,616,34,12,20,6
